time,flexion_tronco,flexion_brazo,flexion_muneca,Puntos_Brazo,Puntos_Muneca,Puntos_Tronco,RULA_Final
0.7667,-0.3376776019967167,0.043103302482052186,0.437319217193874,1,1,1,4
0.7833,-0.33597376170598636,0.050852491817181544,0.45494575427304085,1,1,1,4
0.8,-0.3306690482841077,0.0671067838319459,0.471827234039381,1,1,1,4
0.8167,-0.3330351205048885,0.09169904383711014,0.48796330023415635,1,1,1,4
0.8333,-0.33766423865100137,0.11236379442371458,0.49415339122217006,1,1,1,4
0.85,-0.3335162549138886,0.1234463866756812,0.5096428060207074,1,1,1,4
0.8667,-0.34926522486486533,0.14555958972380267,0.5271048871183268,1,1,1,4
0.8833,-0.35570122444573826,0.1618788538177398,0.5482826623783126,1,1,1,4
0.9,-0.33702025538121916,0.15893008763833905,0.5587335736497039,1,1,1,4
0.9167,-0.32265121381956874,0.15192220751845298,0.5657661825315472,1,1,1,4
0.9333,-0.30573009581695487,0.1347361650360881,0.5739358921084943,1,1,1,4
0.95,-0.2886721013278475,0.11802751979183768,0.5853785692825682,1,1,1,4
0.9667,-0.27779269584954136,0.11081756343315874,0.5968389058396895,1,1,1,4
0.9833,-0.27471441586152423,0.11327147926533598,0.6074177057593886,1,1,1,4
1.0,-0.2735302081124189,0.12554091590726557,0.6171745351846312,1,1,1,4
1.0167,-0.2707615054450514,0.14892898076112715,0.628852087146555,1,1,1,4
1.0333,-0.26915881606745984,0.1770954219857117,0.641372268261506,1,1,1,4
1.05,-0.26830711172956967,0.19963882373969,0.6505675271461087,1,1,1,4
1.0667,-0.2663076783557017,0.21075167186600652,0.658367397185657,1,1,1,4
1.0833,-0.2625085269547469,0.20440792403860542,0.6694288577155305,1,1,1,4
1.1,-0.25587889985561674,0.18793662246338272,0.687893660292815,1,1,1,4
1.1167,-0.2515152403331342,0.16351267553568505,0.7132655970281121,1,1,1,4
1.1333,-0.25783950467322825,0.1429374413663993,0.7441305995647269,1,1,1,4
1.15,-0.26318160600231977,0.12219516407668607,0.7680162204923704,1,1,1,4
1.1667,-0.26904051556934405,0.10104526629146449,0.7856406242742366,1,1,1,4
1.1833,-0.27637966434488703,0.08751849512003673,0.7937222673096755,1,1,1,4
1.2,-0.2845712792276345,0.07288414833038814,0.7897966279765853,1,1,1,4
1.2167,-0.2927465259491271,0.06109828129831385,0.7837666894030235,1,1,1,4
1.2333,-0.2994359788742713,0.05682789014537093,0.7732371093214283,1,1,1,4
1.25,-0.29270874647750134,0.05733788666000805,0.7660153805406082,1,1,1,4
1.2667,-0.28019282303537807,0.05383602834871226,0.7700599373335137,1,1,1,4
1.2833,-0.27784261830419155,0.06661634708333963,0.7973068624611699,1,1,1,4
1.3,-0.26708357181678366,0.07896170323743945,0.8273321054329017,1,1,1,4
1.3167,-0.26058364183890603,0.09435908327992593,0.8563296684993418,1,1,1,4
1.3333,-0.24716714808513984,0.09980130420245814,0.8782498085122938,1,1,1,4
1.35,-0.23609397443428293,0.10285289843426426,0.890020696365724,1,1,1,4
1.3667,-0.21946408224920333,0.09704849178103814,0.8889730826424511,1,1,1,4
1.3833,-0.20215632045136545,0.08721915501922695,0.8801197916422439,1,1,1,4
1.4,-0.1863205257580205,0.06918959818102621,0.8730093940794745,1,1,1,4
1.4167,-0.1777078808688657,0.05164134457794489,0.875604016220791,1,1,1,4
1.4333,-0.16936634867929,0.0377357788295285,0.8810518679183019,1,1,1,4
1.45,-0.16136831757293635,0.03546072402687628,0.8848082036471681,1,1,1,4
1.4667,-0.15416806493010426,0.038712606829108154,0.8854746065331085,1,1,1,4
1.4833,-0.1481426748451895,0.04411088434514454,0.8815318164215853,1,1,1,4
1.5,-0.14750594802097794,0.050947160709228,0.8637242233678819,1,1,1,4
1.5167,-0.15013353618533642,0.05830669273822764,0.8517298392024202,1,1,1,4
1.5333,-0.15451939859099184,0.056992310373345845,0.8413994965123379,1,1,1,4
1.55,-0.16061250001376948,0.05006172547894039,0.8507199118417645,1,1,1,4
1.5667,-0.16579121151175968,0.035338475922998214,0.86525914993274,1,1,1,4
1.5833,-0.16505183362716025,0.01060140785079966,0.8818219357954149,1,1,1,4
1.6,-0.16354614394646205,-0.029024422559757568,0.8909417168125628,1,1,1,4
1.6167,-0.16598571991519862,-0.06885767024280653,0.8957829207993484,1,1,1,4
1.6333,-0.16413289131165243,-0.10685536958487774,0.9087404362718416,1,1,1,4
